"name","imdb","rt","bm","imdb_rating","release_date","budget","critic_score_rt","audience_score_rt","theaters","opening_weekend_usa","gross_usa","gross_worldwide","year","year_of_release","NAs"
"The Amazing Spider-Man 2","https://www.imdb.com/title/tt1872181/","https://www.rottentomatoes.com/m/the_amazing_spider_man_2","https://www.boxofficemojo.com/movies/?id=amazingspiderman2.htm",6.6," 2 May 2014 (USA)",2e+08,"52%","64%",4324,91608337,202853933,708982323,"2014 (USA)",2014,0
"The Avengers","https://www.imdb.com/title/tt0848228/","https://www.rottentomatoes.com/m/marvels_the_avengers","https://www.boxofficemojo.com/release/rl709199361/?ref_=bo_shs_sd",8," 4 May 2012 (USA)",2.2e+08,"91%","91%",4349,207438708,623357910,1518812988,"2012 (USA)",2012,0
"The Dark Knight","https://www.imdb.com/title/tt0468569/","https://www.rottentomatoes.com/m/the_dark_knight","https://www.boxofficemojo.com/release/rl3729098241/",9," 18 July 2008 (USA)",1.85e+08,"94%","94%",4366,158411483,535234033,1004934033,"2008 (USA)",2008,0
"The Dark Knight Rises","https://www.imdb.com/title/tt1345836/","https://www.rottentomatoes.com/m/the_dark_knight_rises","https://www.boxofficemojo.com/release/rl3745875457/?ref_=bo_at_a",8.4," 20 July 2012 (USA)",2.5e+08,"87%","90%",4404,160887295,448139099,1081041287,"2012 (USA)",2012,0
"The Fantastic Four","https://www.imdb.com/title/tt0109770/","https://www.rottentomatoes.com/m/10005582-fantastic_four","",3.8," 31 May 1994 (USA)",1e+06,"33%","27%",NA,NA,NA,NA,"1994 (USA)",1994,4
"The Incredible Hulk","https://www.imdb.com/title/tt0800080/","https://www.rottentomatoes.com/m/the_incredible_hulk","https://www.boxofficemojo.com/release/rl2791015937/",6.7," 13 June 2008 (USA)",1.5e+08,"67%","70%",3508,55414050,134806913,263427551,"2008 (USA)",2008,0
"The Punisher","https://www.imdb.com/title/tt0330793/","https://www.rottentomatoes.com/m/1131721_punisher","https://www.boxofficemojo.com/release/rl1768588801/",6.4," 16 April 2004 (USA)",3.3e+07,"29%","63%",2649,1.4e+07,33810189,54700105,"2004 (USA)",2004,0
"The Return of Swamp Thing","https://www.imdb.com/title/tt0098193/","https://www.rottentomatoes.com/m/return_of_swamp_thing","https://www.boxofficemojo.com/movies/?id=swampthing2.htm",4.6," 12 May 1989 (USA)",4e+06,"44%","28%",NA,NA,192816,192816,"1989 (USA)",1989,2
"The Wolverine","https://www.imdb.com/title/tt1430132/","https://www.rottentomatoes.com/m/the_wolverine_2012","https://www.boxofficemojo.com/movies/?id=wolverine2.htm",6.7," 26 July 2013 (USA)",1.2e+08,"71%","69%",3924,53113752,132556852,414828246,"2013 (USA)",2013,0
"Thor","https://www.imdb.com/title/tt0800369/","https://www.rottentomatoes.com/m/thor","https://www.boxofficemojo.com/movies/?id=thor.htm",7," 6 May 2011 (USA)",1.5e+08,"78%","76%",3963,65723338,181030624,449326618,"2011 (USA)",2011,0
"Thor: Ragnarok","https://www.imdb.com/title/tt3501632/","https://www.rottentomatoes.com/m/thor_ragnarok_2017/","https://www.boxofficemojo.com/release/rl2959312385/",7.9," 3 November 2017 (USA)",1.8e+08,"93%","87%",4080,122744989,315058289,853977126,"2017 (USA)",2017,0
"Thor: The Dark World","https://www.imdb.com/title/tt1981115/","https://www.rottentomatoes.com/m/thor_the_dark_world","https://www.boxofficemojo.com/release/rl3111421441/",6.9," 8 November 2013 (USA)",1.7e+08,"67%","76%",3841,85737841,206362140,644783140,"2013 (USA)",2013,0
"Venom","https://www.imdb.com/title/tt1270797/","https://www.rottentomatoes.com/m/venom_2018","https://www.boxofficemojo.com/movies/?id=venom2018.htm",6.7," 5 October 2018 (USA)",1e+08,"29%","80%",4250,80255756,213515506,856085151,"2018 (USA)",2018,0
"Watchmen","https://www.imdb.com/title/tt0409459/","https://www.rottentomatoes.com/m/watchmen","https://www.boxofficemojo.com/movies/?id=watchmen.htm",7.6," 6 March 2009 (USA)",1.3e+08,"64%","71%",3611,55214334,107509799,185258983,"2009 (USA)",2009,0
"Wonder Woman","https://www.imdb.com/title/tt0451279/","https://www.rottentomatoes.com/m/wonder_woman_2017","https://www.boxofficemojo.com/release/rl578455041/",7.4," 2 June 2017 (USA)",1.49e+08,"93%","88%",4165,103251471,412563408,821847012,"2017 (USA)",2017,0
"X-Men","https://www.imdb.com/title/tt0120903/","https://www.rottentomatoes.com/m/xmen","https://www.boxofficemojo.com/movies/?id=xmen.htm",7.4," 14 July 2000 (USA)",7.5e+07,"81%","83%",3112,54471475,157299718,296339528,"2000 (USA)",2000,0
"X-Men Origins: Wolverine","https://www.imdb.com/title/tt0458525/","https://www.rottentomatoes.com/m/wolverine","https://www.boxofficemojo.com/movies/?id=wolverine.htm",6.6," 1 May 2009 (USA)",1.5e+08,"37%","58%",4102,85058003,179883157,373062864,"2009 (USA)",2009,0
"X-Men: Apocalypse","https://www.imdb.com/title/tt3385516/","https://www.rottentomatoes.com/m/x_men_apocalypse","https://www.boxofficemojo.com/movies/?id=x-men2016.htm",6.9," 27 May 2016 (USA)",1.78e+08,"47%","65%",4153,65769562,155442489,543934105,"2016 (USA)",2016,0
"X-Men: Days of Future Past","https://www.imdb.com/title/tt1877832/","https://www.rottentomatoes.com/m/x_men_days_of_future_past","https://www.boxofficemojo.com/release/rl1400538625/",8," 23 May 2014 (USA)",2e+08,"90%","91%",4001,90823660,233921534,746045700,"2014 (USA)",2014,0
"X-Men: First Class","https://www.imdb.com/title/tt1270798/","https://www.rottentomatoes.com/m/x_men_first_class","https://www.boxofficemojo.com/release/rl1434093057/",7.7," 3 June 2011 (USA)",1.6e+08,"86%","87%",3692,55101604,146408305,352616690,"2011 (USA)",2011,0
"X-Men: The Last Stand","https://www.imdb.com/title/tt0376994/","https://www.rottentomatoes.com/m/x_men_3_the_last_stand","https://www.boxofficemojo.com/release/rl1484424705/",6.7," 26 May 2006 (USA)",2.1e+08,"57%","61%",3714,102750665,234362462,459256008,"2006 (USA)",2006,0
"X2","https://www.imdb.com/title/tt0290334/","https://www.rottentomatoes.com/m/x2_xmen_united","https://www.boxofficemojo.com/movies/?id=x2.htm",7.4," 2 May 2003 (USA)",1.1e+08,"85%","85%",3749,85558731,214949694,407711549,"2003 (USA)",2003,0
